epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,9684.96,1.4899,1.01068,0.92082,0.76795,0.63524,0.69785,0.50527,1.45364,0.95747,0.92872,0.000230966,0.000230966,0.000230966
94,9784.98,1.4798,0.99245,0.92566,0.77137,0.63337,0.69005,0.50319,1.46083,0.96791,0.93062,0.000227086,0.000227086,0.000227086
95,9883.56,1.49742,1.00693,0.91989,0.77036,0.64924,0.69225,0.50334,1.44504,0.95959,0.92774,0.000223205,0.000223205,0.000223205
96,9980.83,1.48596,1.00848,0.92375,0.79215,0.62949,0.70179,0.50202,1.46444,0.96426,0.93275,0.000219324,0.000219324,0.000219324
97,10080.2,1.47836,0.99459,0.92047,0.77472,0.63982,0.69677,0.49867,1.4713,0.95766,0.93313,0.000215443,0.000215443,0.000215443
98,10176.8,1.4797,0.99686,0.92138,0.77037,0.63257,0.69283,0.49942,1.44819,0.94627,0.92746,0.000211562,0.000211562,0.000211562
99,10275.2,1.46499,0.9808,0.91884,0.71936,0.65598,0.6919,0.49725,1.45428,0.94332,0.92925,0.000207682,0.000207682,0.000207682
100,10372.5,1.45999,0.97319,0.9213,0.76646,0.63793,0.69936,0.4956,1.4773,0.94956,0.9305,0.000203801,0.000203801,0.000203801
101,10470,1.49654,0.99228,0.9225,0.81041,0.63325,0.70935,0.51428,1.45021,0.94559,0.92624,0.00019992,0.00019992,0.00019992
102,10570,1.46786,0.97585,0.92229,0.74657,0.65513,0.70097,0.50641,1.45078,0.93894,0.92636,0.000196039,0.000196039,0.000196039
103,10666.5,1.46642,0.97292,0.91866,0.79319,0.64804,0.70739,0.51207,1.43782,0.94026,0.92451,0.000192158,0.000192158,0.000192158
104,10763.9,1.44112,0.96836,0.91778,0.76887,0.65236,0.71126,0.51727,1.43608,0.93419,0.92336,0.000188278,0.000188278,0.000188278
105,10861.3,1.4561,0.96487,0.91596,0.79401,0.65231,0.71121,0.51794,1.43285,0.93255,0.92426,0.000184397,0.000184397,0.000184397
106,10957.7,1.47166,0.97585,0.9139,0.77811,0.63591,0.70785,0.51411,1.43943,0.94255,0.92532,0.000180516,0.000180516,0.000180516
